         564678 function calls (551003 primitive calls) in 1.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      458    0.001    0.000    0.003    0.000 _inspect.py:97(getargspec)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
      998    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        2    0.000    0.000    0.003    0.001 _strptime.py:62(__init__)
        5    0.000    0.000    0.003    0.001 inspect.py:2381(_signature_from_builtin)
       11    0.000    0.000    0.003    0.000 typing.py:2888(__new__)
        1    0.000    0.000    0.003    0.003 _parseaddr.py:1(<module>)
     5679    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.003    0.001 inspect.py:2239(_signature_fromstr)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
        1    0.000    0.000    0.003    0.003 uuid.py:1(<module>)
        1    0.000    0.000    0.003    0.003 engines.py:1(<module>)
       14    0.000    0.000    0.003    0.000 core.py:120(doc_note)
       70    0.000    0.000    0.003    0.000 typing.py:1417(copy_with)
        1    0.000    0.000    0.002    0.002 quoprimime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs_scalars.py:1(<module>)
        2    0.000    0.000    0.002    0.001 categorical.py:1(<module>)
        8    0.000    0.000    0.002    0.000 __init__.py:678(children)
        1    0.000    0.000    0.002    0.002 decimal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
      160    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
        1    0.001    0.001    0.002    0.002 constant.py:1(<module>)
     5089    0.002    0.000    0.002    0.000 _parser.py:256(match)
        1    0.000    0.000    0.002    0.002 capture.py:1(<module>)
       35    0.000    0.000    0.002    0.000 typing.py:1476(__getitem__)
        1    0.000    0.000    0.002    0.002 dataframe_protocol.py:1(<module>)
      937    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
  806/805    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
     4284    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      212    0.002    0.000    0.002    0.000 _compiler.py:391(_mk_bitmap)
        1    0.000    0.000    0.002    0.002 _policybase.py:1(<module>)
        1    0.000    0.000    0.002    0.002 filepost.py:1(<module>)
       73    0.000    0.000    0.002    0.000 config.py:810(inner)
        1    0.000    0.000    0.002    0.002 __init__.py:1016(Config)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _function_base_impl.py:1(<module>)
      232    0.001    0.000    0.002    0.000 inspect.py:3029(__init__)
     1543    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
       44    0.000    0.000    0.002    0.000 <frozen abc>:110(register)
        2    0.000    0.000    0.002    0.001 sysconfig.py:751(get_config_var)
       24    0.000    0.000    0.002    0.000 typing.py:1855(__new__)
      3/2    0.000    0.000    0.002    0.001 sysconfig.py:711(get_config_vars)
        1    0.000    0.000    0.002    0.002 sysconfig.py:644(_init_config_vars)
       44    0.000    0.000    0.002    0.000 {built-in method _abc._abc_register}
      669    0.001    0.000    0.002    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.002    0.002 deprecated.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sslproto.py:1(<module>)
   117/46    0.002    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
     1829    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
     5574    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
       15    0.000    0.000    0.002    0.000 dataclasses.py:882(_hash_add)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
      383    0.000    0.000    0.002    0.000 __init__.py:164(match)
       73    0.001    0.000    0.002    0.000 config.py:521(register_option)
      193    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
