         1082225 function calls (1054557 primitive calls) in 1.667 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      267    0.001    0.000    0.001    0.000 core_schema.py:889(str_schema)
      210    0.001    0.000    0.001    0.000 _model_construction.py:311(_collect_bases_data)
      270    0.001    0.000    0.001    0.000 enum.py:784(__delattr__)
       40    0.001    0.000    0.001    0.000 typing.py:1753(_get_protocol_attrs)
      828    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     4224    0.001    0.000    0.001    0.000 constant.py:2054(<genexpr>)
      869    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
     2637    0.001    0.000    0.001    0.000 _model_construction.py:355(<genexpr>)
      306    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
     1061    0.001    0.000    0.001    0.000 _fields.py:681(is_valid_field_name)
      830    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
      428    0.001    0.000    0.001    0.000 core_schema.py:2581(nullable_schema)
      817    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
   147/51    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      869    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      184    0.001    0.000    0.001    0.000 inspect.py:1797(_check_instance)
       87    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
     1743    0.001    0.000    0.001    0.000 typing.py:1634(__eq__)
      292    0.001    0.000    0.002    0.000 dataclasses.py:864(_set_new_attribute)
       87    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
      680    0.001    0.000    0.001    0.000 inspect.py:3076(<genexpr>)
      532    0.001    0.000    0.005    0.000 typing.py:730(<genexpr>)
        1    0.001    0.001    0.009    0.009 frame.py:515(DataFrame)
      210    0.001    0.000    0.001    0.000 _typing_extra.py:215(parent_frame_namespace)
      554    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      198    0.001    0.000    0.001    0.000 inspect.py:1806(_check_class)
      617    0.001    0.000    0.001    0.000 {method 'title' of 'str' objects}
       87    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
      142    0.001    0.000    0.074    0.001 _compiler.py:578(_code)
