         513935 function calls (501521 primitive calls) in 1.434 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  133/104    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
     1705    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      665    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       53    0.000    0.000    0.023    0.000 _add_newdocs.py:3381(_array_method_doc)
      260    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      120    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 stata.py:715(StataMissingValue)
       22    0.000    0.000    0.010    0.000 typing.py:2761(_make_nmtuple)
       76    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       89    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:195(_write_atomic)
      654    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
      542    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      350    0.000    0.000    0.001    0.000 function_base.py:456(_needs_add_docstring)
      934    0.000    0.000    0.001    0.000 inspect.py:371(isfunction)
     1992    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
       38    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
      545    0.000    0.000    0.004    0.000 typing.py:723(<genexpr>)
      120    0.000    0.000    0.028    0.000 _compiler.py:573(_code)
       81    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      148    0.000    0.000    0.005    0.000 typing.py:885(__init__)
        3    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
      611    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      989    0.000    0.000    0.001    0.000 typing.py:1252(__eq__)
        9    0.000    0.000    0.002    0.000 typing.py:2854(__new__)
       45    0.000    0.000    0.001    0.000 accessor.py:122(_create_delegator_method)
      383    0.000    0.000    0.002    0.000 __init__.py:164(match)
     1176    0.000    0.000    0.001    0.000 typing.py:935(__eq__)
  592/512    0.000    0.000    0.001    0.000 typing.py:1258(__hash__)
       98    0.000    0.000    0.190    0.002 utils.py:265(is_multi_byte_encoding)
  996/895    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 sysconfig.py:282(_extend_dict)
       64    0.000    0.000    0.001    0.000 common.py:49(_unpack_zerodim_and_defer)
        1    0.000    0.000    0.009    0.009 _array_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multi.py:196(MultiIndex)
       25    0.000    0.000    0.001    0.000 dtypes.py:30(_add_dtype_helper)
       13    0.000    0.000    0.007    0.001 core.py:8743(_convert2ma)
        3    0.000    0.000    0.016    0.005 datetimes.py:1(<module>)
  146/127    0.000    0.000    0.001    0.000 typing.py:1573(__hash__)
        8    0.000    0.000    0.000    0.000 sysconfig.py:273(_subst_vars)
      123    0.000    0.000    0.000    0.000 expr.py:200(<genexpr>)
        1    0.000    0.000    0.109    0.109 config_init.py:1(<module>)
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
        1    0.000    0.000    0.037    0.037 _linalg.py:1(<module>)
      270    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.297    0.074 exceptions.py:1(<module>)
       26    0.000    0.000    0.003    0.000 core.py:7037(_frommethod)
        1    0.000    0.000    0.000    0.000 __init__.py:873(blas_fpe_check)
        2    0.000    0.000    0.004    0.002 pytables.py:1(<module>)
      621    0.000    0.000    0.001    0.000 feedparser.py:127(__next__)
      202    0.000    0.000    0.000    0.000 _decorators.py:514(set_module)
        2    0.000    0.000    0.007    0.003 _base.py:1(<module>)
        1    0.000    0.000    0.046    0.046 multiarray.py:1(<module>)
      143    0.000    0.000    0.000    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
       22    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.041    0.041 _add_newdocs.py:1(<module>)
       28    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       28    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
       34    0.000    0.000    0.002    0.000 enum.py:513(__prepare__)
       17    0.000    0.000    0.000    0.000 <frozen codecs>:1076(make_identity_dict)
      314    0.000    0.000    0.000    0.000 types.py:192(__init__)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
    76/49    0.000    0.000    0.156    0.003 <frozen importlib._bootstrap_external>:1295(exec_module)
      144    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
